,repo,week,commits,total commits
0,holoviews,1,12.0,566.0
1,holoviews,2,1.0,566.0
2,holoviews,3,11.0,566.0
3,holoviews,4,3.0,566.0
4,holoviews,5,14.0,566.0
5,holoviews,6,22.0,566.0
6,holoviews,7,9.0,566.0
7,holoviews,8,24.0,566.0
8,holoviews,9,2.0,566.0
9,holoviews,10,7.0,566.0
10,holoviews,11,30.0,566.0
11,holoviews,12,43.0,566.0
12,holoviews,13,12.0,566.0
13,holoviews,14,1.0,566.0
14,holoviews,15,6.0,566.0
15,holoviews,16,6.0,566.0
16,holoviews,17,10.0,566.0
17,holoviews,18,10.0,566.0
18,holoviews,19,4.0,566.0
19,holoviews,20,1.0,566.0
20,holoviews,21,16.0,566.0
21,holoviews,22,4.0,566.0
22,holoviews,23,2.0,566.0
23,holoviews,24,8.0,566.0
24,holoviews,25,14.0,566.0
25,holoviews,26,6.0,566.0
26,holoviews,27,14.0,566.0
27,holoviews,28,6.0,566.0
28,holoviews,29,6.0,566.0
29,holoviews,30,22.0,566.0
30,holoviews,31,17.0,566.0
31,holoviews,32,8.0,566.0
32,holoviews,33,15.0,566.0
33,holoviews,34,34.0,566.0
34,holoviews,35,14.0,566.0
35,holoviews,36,20.0,566.0
36,holoviews,37,18.0,566.0
37,holoviews,38,6.0,566.0
38,holoviews,39,20.0,566.0
39,holoviews,40,8.0,566.0
40,holoviews,41,16.0,566.0
41,holoviews,42,10.0,566.0
42,holoviews,43,5.0,566.0
43,holoviews,44,6.0,566.0
44,holoviews,45,9.0,566.0
45,holoviews,46,16.0,566.0
46,holoviews,47,8.0,566.0
47,holoviews,48,0.0,566.0
48,holoviews,49,0.0,566.0
49,holoviews,50,1.0,566.0
50,holoviews,51,5.0,566.0
51,holoviews,52,4.0,566.0
52,bokeh,1,33.0,927.0
53,bokeh,2,39.0,927.0
54,bokeh,3,29.0,927.0
55,bokeh,4,52.0,927.0
56,bokeh,5,15.0,927.0
57,bokeh,6,4.0,927.0
58,bokeh,7,12.0,927.0
59,bokeh,8,9.0,927.0
60,bokeh,9,31.0,927.0
61,bokeh,10,13.0,927.0
62,bokeh,11,18.0,927.0
63,bokeh,12,15.0,927.0
64,bokeh,13,10.0,927.0
65,bokeh,14,17.0,927.0
66,bokeh,15,17.0,927.0
67,bokeh,16,17.0,927.0
68,bokeh,17,21.0,927.0
69,bokeh,18,12.0,927.0
70,bokeh,19,9.0,927.0
71,bokeh,20,8.0,927.0
72,bokeh,21,7.0,927.0
73,bokeh,22,14.0,927.0
74,bokeh,23,21.0,927.0
75,bokeh,24,20.0,927.0
76,bokeh,25,17.0,927.0
77,bokeh,26,17.0,927.0
78,bokeh,27,12.0,927.0
79,bokeh,28,6.0,927.0
80,bokeh,29,14.0,927.0
81,bokeh,30,15.0,927.0
82,bokeh,31,34.0,927.0
83,bokeh,32,33.0,927.0
84,bokeh,33,29.0,927.0
85,bokeh,34,29.0,927.0
86,bokeh,35,16.0,927.0
87,bokeh,36,20.0,927.0
88,bokeh,37,5.0,927.0
89,bokeh,38,14.0,927.0
90,bokeh,39,23.0,927.0
91,bokeh,40,5.0,927.0
92,bokeh,41,27.0,927.0
93,bokeh,42,22.0,927.0
